Country,Continent,Year,Tourist_Arrivals,Average_Hotel_Cost_USD,Average_Food_Cost_USD,Average_Transport_Cost_USD,Average_Daily_Budget_USD,Average_Temperature_C,Nature_Score,Culture_Score,Safety_Score
Denmark,Europe,2026,4.1,166.77,45.7,17.19,263.63,9.5,9,9,10
Finland,Europe,2026,5.41,160.07,43.65,15.45,250.45,6.0,10,8,10
Iceland,Europe,2026,2.94,195.34,52.62,16.92,299.13,4.2,10,9,10
Ireland,Europe,2026,8.03,144.75,39.53,15.45,227.27,11.3,10,9,9
Croatia,Europe,2026,14.95,105.62,31.49,11.62,164.18,17.0,10,9,9
Turkey,Europe,2026,61.29,81.43,24.67,9.17,127.25,17.1,9,10,7
Czech Republic,Europe,2026,1.58,100.39,30.89,11.1,159.31,8.8,8,9,9
Hungary,Europe,2026,16.4,78.76,27.79,10.32,132.98,11.9,7,9,8
Poland,Europe,2026,1.87,76.05,24.74,9.27,125.24,10.3,7,9,9
Mexico,North America,2026,46.29,87.2,24.98,9.07,137.96,23.1,10,9,7
United States,North America,2026,90.42,190.32,50.96,18.03,284.93,15.2,9,9,7
Canada,North America,2026,24.11,171.43,47.01,17.65,261.56,7.3,10,9,9
Costa Rica,North America,2026,12.79,95.68,29.46,10.37,148.26,23.8,10,8,9
Panama,North America,2026,18.92,84.03,26.3,8.98,136.41,28.1,9,8,8
Guatemala,North America,2026,3.27,55.86,21.5,7.14,93.48,20.8,9,10,7
Cuba,North America,2026,8.65,64.28,21.2,7.96,101.12,25.6,9,9,7
Dominican Republic,North America,2026,14.09,78.87,22.17,9.43,124.7,25.9,9,8,7
Jamaica,North America,2026,16.65,83.13,25.04,9.27,131.59,26.4,10,8,7
Brazil,South America,2026,9.65,75.95,23.79,8.31,124.01,26.1,10,10,7
Argentina,South America,2026,14.82,67.76,22.23,8.19,111.78,18.2,9,10,8
Chile,South America,2026,5.96,83.68,25.75,8.95,134.88,13.5,10,9,9
Peru,South America,2026,17.1,60.76,21.34,6.76,99.53,19.5,10,10,7
Colombia,South America,2026,9.47,65.22,18.94,7.17,104.08,23.6,10,9,7
Ecuador,South America,2026,13.22,56.52,18.77,6.97,94.3,21.4,10,9,7
Bolivia,South America,2026,10.55,47.27,15.77,5.95,74.8,11.1,9,9,7
Uruguay,South America,2026,2.09,77.66,25.43,9.11,128.57,18.2,8,9,9
South Africa,Africa,2026,19.13,74.98,19.88,8.22,116.39,17.7,10,9,7
Egypt,Africa,2026,3.31,60.81,17.62,6.96,97.8,23.1,8,10,7
Morocco,Africa,2026,19.45,70.88,21.14,8.16,110.85,21.1,9,10,8
Kenya,Africa,2026,20.85,64.11,19.03,6.91,98.75,21.8,10,9,7
Tanzania,Africa,2026,10.95,66.86,21.48,7.84,106.5,25.5,10,8,7
Mauritius,Africa,2026,8.66,104.7,28.67,10.41,161.45,24.5,10,8,9
Seychelles,Africa,2026,18.59,169.02,45.22,15.15,249.71,27.3,10,8,9
Ghana,Africa,2026,16.28,56.6,18.76,6.82,89.47,26.8,8,9,7
Nigeria,Africa,2026,10.06,62.14,19.29,6.69,98.94,26.4,7,9,6
Rwanda,Africa,2026,5.26,66.89,20.5,8.26,106.11,19.2,9,8,9
Botswana,Africa,2026,11.84,74.91,23.24,7.75,120.85,24.2,10,8,9
Namibia,Africa,2026,15.44,67.43,20.6,8.21,108.91,20.6,10,8,9
Jordan,Asia,2026,7.87,86.92,25.56,9.07,136.5,19.3,8,10,8
Israel,Asia,2026,8.3,147.49,41.84,13.43,219.72,19.1,8,10,8
UAE,Asia,2026,15.66,161.7,45.63,14.61,250.79,28.5,7,9,9
Saudi Arabia,Asia,2026,2.39,111.27,32.49,10.54,176.42,26.8,8,9,8
Oman,Asia,2026,19.47,105.92,29.69,10.2,158.23,26.2,9,8,9
Qatar,Asia,2026,7.7,174.02,43.1,14.36,265.26,28.8,6,8,9
Georgia,Asia,2026,19.52,63.72,20.41,7.77,102.73,14.1,9,9,8
Armenia,Asia,2026,8.77,56.6,18.79,6.81,89.22,12.6,8,9,8
Azerbaijan,Asia,2026,12.79,73.08,22.48,8.11,116.12,14.0,8,9,8
Kazakhstan,Asia,2026,2.8,69.69,21.75,7.9,111.38,8.6,9,8,8
Mongolia,Asia,2026,1.22,63.36,19.4,6.63,102.38,1.7,10,8,8
Laos,Asia,2026,11.17,39.59,13.78,4.53,66.48,23.8,10,8,8
Cambodia,Asia,2026,6.72,45.07,15.34,5.73,72.96,28.7,9,9,7
Maldives,Asia,2026,17.56,149.8,38.87,14.16,230.18,29.4,10,8,9
Bhutan,Asia,2026,21.46,101.61,27.66,9.14,156.49,13.4,10,9,10
